Artist,Title,Year,URL
Miljö,Et letzte Mol,2023,https://youtu.be/Dw_86IwV2pg?si=CQhg9BPNCJNKgNlk
Miljö,Kirmes em Kopp,2020,https://www.youtube.com/watch?v=S9zwPndZHRM
Miljö,Kölsch statt Käsch,2018,https://www.youtube.com/watch?v=DPcFP8d8RqA
Miljö,Null oder hundert,2019,https://www.youtube.com/watch?v=lmQSuFrvZaE
Miljö,Schöckelpääd,2019,https://www.youtube.com/watch?v=ZuDlUykV31A
Miljö,su lang die leechter noch brenne,2015,https://youtu.be/j1-jS-q28HE?si=CqiVJxv_OdogJarj
Miljö,Wolkeplatz,2016,https://youtu.be/3Dr5eYft8ZA?si=xQgf3r76TJGw8o2w
Mo-Torres,All die Leeder,2019,https://www.youtube.com/watch?v=Z0TqNuRVpkE
"Mo-Torres, Cat Ballou und Lukas Podolski", Liebe deine Stadt, 2016, https://www.youtube.com/watch?v=x65_s8T1SGQ
Paveier,Beim Toni aan d´r Iesbud,1985,https://www.youtube.com/watch?v=DocRiBi0xvQ
Paveier,"Beinah,Beinah",1993,https://www.youtube.com/watch?v=aTEmZMGDD_k
Paveier,Buenos dias Mathias,1987,https://www.youtube.com/watch?v=RLEFFpe0ZDA
Paveier,Der weißeste Mann am Strand,1987,https://www.youtube.com/watch?v=TmkEC80wQ_0
Paveier,Hau op die Trumm,2022,https://www.youtube.com/watch?v=n3VPq27Pdbs
Paveier,Heimat es,2012,https://youtu.be/hthKW3p49yk?si=tgiyGkOLL_RjuTKy
Paveier,Ich han de Musik bestellt,1984,https://www.youtube.com/watch?v=LvwonxdzvZE
Paveier,Köln hat was zu bieten,2012,https://youtu.be/52WbsAZU9BU?si=JVq6HfDoOLDb7brZ
Paveier,Leev Marie,2015,https://youtu.be/vC-R_olORhU?si=BGP9joiCKSWwS4y6
Paveier,Mädche nemm mich in d´r Ärm,1993,https://www.youtube.com/watch?v=zaM8_fIEbdc
Paveier,Mir sin kölsche us Kölle am Rhing,2009,https://www.youtube.com/watch?v=uW-XmW8C3o0
Paveier,Nie mehr Alkohol,2019,https://www.youtube.com/watch?v=LvwonxdzvZE
Paveier,"Wo bist du,Amore",2024,https://www.youtube.com/watch?v=mIseuCz3zts
Planschemalöör,Heimat,2019,https://youtu.be/sTpttBzXGHI?si=dgfJFL-PEjAFcqBr
Planschemalöör,Liebe in der Luft,2023,https://youtu.be/MZENgyNVBT4?si=LhPSp1Yc5HDSJHUf
Querbeat,Dä Plan,2016,https://www.youtube.com/watch?v=cyeVIrbF8NY
